spt_id,mjd,ts,ra,dec,95_flux,95_flux_err,150_flux,150_flux_err,220_flux,220_flux_err,spectral_index_95_150,spectral_index_95_150_err,spectral_index_150_220,spectral_index_150_220_err,dr3_source_id,p-value,source_ra,source_dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_err,binary,2rxs_id,2rxs_ref,2rxs_flux
SPT-SV J212043.9-543752,59742.94,1237.535341,320.18321,-54.631259,182.784725,7.526288,194.764362,9.230027,182.824032,31.615414,0.138982,0.137447,-0.16519,0.468167,6463546350186454144,0.00085,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J212044.2-543800,59757.48,18363.16555,320.18458,-54.633402,480.146832,7.397008,808.724959,7.535898,1091.183741,28.281724,1.14145,0.039418,0.782156,0.071914,6463546350186454144,0.00032,320.183645,-54.633106,10.334653,10.930648,9.583086,4.996734,0.014739,True,2RXS J212043.2-543801,Freund,0.0
SPT-SV J004210.2-544444,59763.23,198.45304,10.542729,-54.745558,75.727653,7.837285,86.901656,8.094065,45.489396,28.72456,0.301327,0.30483,-1.690107,1.666583,4920732799689111424,0.00242,10.542823,-54.745587,12.678206,14.20981,11.468059,22.784885,0.024119,False,2RXS J004213.3-544425,Freund,0.0
SPT-SV J031811.3-413648,59767.07,119.005658,49.547279,-41.613442,48.83455,9.287119,85.230745,9.05155,98.873259,32.789496,1.219297,0.47688,0.387675,0.909212,4851182435759863296,0.081245,49.549419,-41.608527,14.588162,16.371532,13.308966,19.947203,0.019099,True,2RXS J031813.7-413632,DR3/2RXS Proximity,0.0
SPT-SV J024204.1-535911,59769.96,49.800195,40.517281,-53.986599,47.612435,7.548761,33.769194,8.596748,28.232766,31.067504,-0.752137,0.6566,-0.467544,2.949066,4741424615230777216,0.01166,40.517679,-53.983395,13.328336,15.190118,12.031857,23.702395,0.097087,True,2RXS J024202.6-535908,Freund,0.0
SPT-SV J210120.9-493311,59776.63,574.145128,315.337436,-49.553164,107.924726,7.695152,149.584676,7.688971,131.629893,28.20704,0.714664,0.192438,-0.333867,0.575388,6478107251392112640,0.000417,315.338057,-49.552103,10.613663,11.310298,9.809847,4.379431,0.021967,True,2RXS J210121.1-493324,Freund,0.0
SPT-SV J213023.8-601210,59778.0,103.799517,322.599347,-60.203009,42.133505,7.228301,62.594434,7.133234,6.349662,25.262691,0.866614,0.450912,-5.974729,10.39243,6452221724017193216,0.000555,322.604521,-60.207088,7.559564,8.01054,6.929912,5.553703,0.032722,False,2RXS J213024.9-601226,Freund,0.0
SPT-SV J021007.6-543037,59781.46,79.572053,32.531668,-54.510392,50.594831,7.692808,32.547698,8.024627,42.060481,28.010985,-0.965812,0.634173,0.66947,1.854194,4743636248509810944,0.00032,32.533261,-54.511077,9.731695,10.317272,8.997075,4.834732,0.03874,False,2RXS J021008.2-543037,Freund,0.0
SPT-SV J010721.0-614627,59788.74,93.999311,16.837681,-61.774227,43.019711,7.329136,59.775813,7.313775,18.922655,24.665003,0.720168,0.459215,-3.003302,3.41833,4710627809932009344,0.000302,16.828467,-61.775339,5.1259,5.574456,4.518214,10.665785,0.053739,False,2RXS J010719.2-614632,Freund,0.0
SPT-SV J205842.1-702527,59793.29,75.743372,314.675731,-70.42424,36.872913,6.101642,40.850117,5.943902,8.928407,20.677464,0.22426,0.482424,-3.970503,6.05883,6375292709353220992,4.7e-05,314.667077,-70.422043,7.736983,7.949466,7.370581,8.881871,0.01986,True,2RXS J205838.7-702508,Freund,0.0
