mjd,flux_90,flux_90_err,flux_150,flux_150_err,flux_220,flux_220_err
60139.8007369524,48.86280908461237,5.35266083958128,29.46514443676302,7.240384951975413,66.610431773489,25.59927320740912
60139.80288211863,45.049661152234734,5.131731912808904,79.75506806843443,6.4515611647502515,46.65218486285534,22.015940138069432
60139.79334245879,28.971814245072604,7.511633121796472,37.27705149589482,12.136298428368988,-83.50616785452553,48.62308615197686
60139.79087765284,67.6487059674531,11.455936859836765,83.76489896935233,37.92905460292746,-46.09179245993489,67.75331773539799
60139.790558164845,,inf,,inf,,inf
60139.793022970785,-51.591217525004,10.15185589554397,99.58017995591464,18.19085500272822,-14.47521373357857,45.75632851888493
60139.81274134233,,inf,,inf,,inf
60139.80534692456,53.624665659900224,6.362313219918227,68.6925442153495,7.328656955779046,52.798196735256596,28.961806231005344
60139.79827214647,81.63481805666054,5.512228164440052,103.13735348279482,6.83732604613738,-39.20191001972216,30.166090653480918
60139.80041738856,33.33967830840049,5.484818079055307,45.34947903940578,6.03466759918764,77.68194117527565,25.68302029957162
60139.80813144603,1.2738578747932823,10.609781581654047,34.58225103982351,13.882918288416908,11.556967766161394,64.58996008322224
60139.8102765364,26.65251303777681,10.385193723618277,36.26483696318966,13.59124579340741,-71.96939389686847,60.13817372837588
60139.80566664011,42.6790103044593,6.689925957128853,68.14474378898474,8.466234225798758,11.080479515178183,34.43540291601902
60139.810596251955,,inf,,inf,,inf
60139.803201758325,28.007968333479344,6.336150780603946,34.466756321555714,8.321357605426709,143.41691341558206,31.434464633214084
60139.79548777669,47.69451335586485,6.732187324568611,70.01382142967545,8.382313496825807,324.36550766969697,36.482484308434294
60139.797952506786,63.67121822047869,6.098613163695958,46.939458332320235,7.170692886511991,-83.55680560100946,29.620619662408952
60139.795807264694,45.58012213438889,6.342066968696032,50.86111980475541,9.505280509999702,-132.46431749659624,40.4043547291059
60139.80781173048,40.026060057243754,6.788541057082548,108.69607531283656,8.152993255701865,13.818413894320688,33.92211772972636
60139.788412771064,,inf,,inf,,inf
60141.37831074559,16.27190106333225,5.959305372984645,13.50279627281663,6.659755182433613,-82.87983643880015,28.192858372823338
60141.36630453522,14.475368422657185,5.537257908231339,49.52524061962291,6.393753950373844,114.57443283221566,23.2458257107186
60141.37369902885,44.825883860201756,5.561852893022792,45.78068654946403,6.54699978714298,-4.880854454734038,26.56470094516226
60141.36352198589,,inf,,inf,1760.8935590955741,839.8413260600129
60141.36137484752,,inf,,inf,-2587.7018699786604,782.9188930352044
60141.370916403655,77.70689289865801,5.3388216790372915,38.169864745644176,6.69534813348952,-129.90426863398494,25.488309198238813
60141.37862871656,25.122652965472,8.078440462999197,5.023997936968257,10.351783930534983,188.9679719662966,43.866355347369336
60141.36845159776,80.62897033159503,5.534069529502577,35.95387208925856,6.291074079021829,-53.12743818308594,22.30606842736368
60141.36598679182,50.45328700092912,8.128465347312728,37.18394767119979,7.716308802007107,-0.15810474503487043,32.49054199503605
60141.37584593967,14.107837811918417,5.46483487567591,-0.47991685197815914,6.611950063425109,145.079809850485,25.11426205509229
60141.37616391063,39.9964514305991,6.038146600112498,18.010510148881732,7.053276389665799,138.27910028418182,28.08632774633753
60141.37338120958,32.04209948867357,5.065258130029176,48.79241138592488,5.994161979932527,4.234615687767321,21.295386098850983
60141.363839653444,-0.2813251941406361,8.193396493835237,36.89981262151757,7.554435419415376,141.5263595838173,31.17969199379188
60141.37123422293,53.97541566433623,5.221002048613471,0.01805973409231838,6.151708128761069,-30.65825027032447,21.701700359743153
